,customer_age,customer_sex,customer_number_of_dependents,customer_education,customer_civil_status,customer_salary_range,customer_relationship_length,customer_available_credit_limit,credit_card_classification,total_products,period_inactive,contacts_in_last_year,credit_card_debt_balance,remaining_credit_limit,transaction_amount_ratio,total_transaction_amount,total_transaction_count,transaction_count_ratio,average_utilization,account_status,customer_available_credit_limit_below_1450,total_products_0_5,total_products_6_10,total_products_more_than_10,period_inactive_0_3,credit_card_debt_balance_0,transaction_amount_ratio_0_05,transaction_amount_ratio_05_1,transaction_amount_ratio_1_2,transaction_amount_ratio_more_than_2,total_transaction_count_0_25,total_transaction_count_26_50,total_transaction_count_51_100,total_transaction_count_more_than_100,transaction_count_ratio_0_05,transaction_count_ratio_05_1,transaction_count_ratio_1_2,transaction_count_ratio_more_than_2,average_utilization_0_02,average_utilization_02_06,average_utilization_more_than_06
4693,44.0,M,4,Unknown,Married,120K and more,31,10.449178263628198,Blue,4,3,4,1197,10.413883083825608,0.669,7.374001859350161,43,1.15,0.035,open,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
168,38.0,F,1,Graduate,Single,40-60K,36,7.765569081097317,Blue,4,2,2,1965,5.973809611869261,0.614,8.501470230951002,80,3.0,0.833,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
8427,52.0,F,2,Uneducated,Married,below 40K,43,8.83884181343129,Blue,3,3,3,640,8.741456115998364,1.052,7.930565854233965,57,0.839,0.093,open,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3545,50.0,F,1,Uneducated,Married,below 40K,38,7.271217139609844,Blue,3,3,3,0,7.271217139609844,0.679,10.378416532304357,86,0.72,0.0,open,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
8604,45.0,M,3,Post-Graduate,Divorced,60-80K,37,7.919719760924575,Blue,6,3,3,2432,5.765191102784844,0.905,8.401333305321703,75,0.923,0.884,open,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
6414,54.0,F,1,High School,Married,below 40K,42,7.813591552952433,Blue,3,5,4,1539,6.840546529288687,0.649,8.493719835230594,80,0.509,0.622,open,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
6243,43.0,M,3,Graduate,Married,80-120K,38,10.063009495553013,Blue,3,5,1,2305,9.959584291887998,0.636,10.838658918173572,83,0.627,0.098,open,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
8941,38.0,M,1,Graduate,Single,below 40K,28,7.432483807917119,Blue,4,5,2,1459,5.442417710521793,0.667,8.275885669474356,69,0.643,0.863,open,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
4292,33.0,F,1,Graduate,Single,below 40K,36,8.787372988731876,Blue,3,2,4,1440,8.53915035876828,0.629,7.795234929002173,77,0.453,0.22,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
7716,48.0,M,4,Unknown,Single,80-120K,36,10.399341660371974,Blue,3,3,3,1717,10.345638111452145,0.995,7.839131648274333,42,0.4,0.052,closed,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
3906,48.0,M,4,Uneducated,Married,80-120K,37,10.340063655669345,Blue,5,6,3,2404,10.259202035379737,0.609,7.32052696227274,35,0.207,0.078,open,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2862,49.0,F,4,High School,Married,below 40K,43,7.946617563244473,Blue,4,2,0,2070,6.628041376179533,0.541,6.932447891572509,28,0.647,0.732,open,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1654,49.0,F,2,Uneducated,Married,below 40K,36,7.826044013518965,Blue,3,4,1,0,7.826044013518965,0.62,8.32093496888341,61,0.743,0.0,open,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
6800,38.0,M,1,High School,Single,120K and more,30,9.294129897705867,Blue,5,3,3,2415,9.042986242304014,0.933,8.437933510430605,59,0.372,0.222,closed,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
2752,44.0,M,3,High School,Single,below 40K,38,7.65491704784832,Blue,6,1,2,1047,6.96979066990159,0.971,8.482601746646619,82,0.952,0.496,open,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
5249,40.0,F,3,Graduate,Single,below 40K,30,8.107418811719974,Blue,4,3,2,0,8.107418811719974,0.262,8.484669999710677,44,0.375,0.0,closed,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
738,52.0,F,4,Post-Graduate,Married,below 40K,37,7.271217139609844,Blue,6,3,4,783,6.485093146045451,0.733,8.150179269682326,70,0.795,0.544,open,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
345,55.0,M,1,Graduate,Married,40-60K,36,8.217438537730187,Blue,2,1,2,1355,7.762170607138205,0.742,9.685891087651035,119,0.725,0.366,open,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
3345,34.0,F,1,Unknown,Married,below 40K,36,7.783640596221253,Blue,2,3,3,496,7.552237287560802,0.647,7.862112211662748,40,0.379,0.207,closed,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
6894,36.0,M,2,Unknown,Single,80-120K,29,8.584103896698863,Blue,3,3,5,1539,8.244596756382498,0.777,7.733245646529795,51,0.889,0.288,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
8057,34.0,,2,Graduate,Married,below 40K,23,8.044305406990638,Blue,6,2,2,0,8.044305406990638,0.698,7.92588031673756,45,0.667,0.0,closed,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
5460,47.0,M,1,High School,Single,80-120K,36,9.778774308362486,Blue,4,3,4,0,9.778774308362486,0.583,,79,0.549,0.0,open,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
7521,52.0,F,1,Uneducated,Married,below 40K,42,8.04012466444838,Blue,5,3,3,2517,6.373319789577012,0.881,8.442685139241176,80,1.0,0.811,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
8491,49.0,M,3,Unknown,Single,60-80K,45,7.660114319173928,Blue,1,1,1,1101,6.928537818164665,0.711,8.909775673693389,103,0.515,0.519,open,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
679,39.0,M,3,Graduate,Married,40-60K,28,8.154212694914229,Blue,4,3,4,0,8.154212694914229,0.65,,54,0.543,0.0,open,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
8688,36.0,M,4,Graduate,Married,80-120K,36,7.724004656676065,Blue,5,3,1,1450,6.699500340161678,0.735,8.32263709695394,84,0.787,0.641,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
6930,43.0,F,5,Graduate,Married,below 40K,33,9.602787783003043,Silver,6,3,2,2517,9.416459832284596,0.558,8.477204183199873,57,0.462,0.17,closed,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
9188,46.0,F,3,Graduate,Married,40-60K,38,9.212138753917563,Blue,2,3,3,829,9.125762395500885,0.844,9.533799735803484,114,0.81,0.083,open,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
6067,50.0,M,2,Graduate,Married,80-120K,36,9.184817414745098,Blue,6,1,2,1354,9.035272443893536,0.893,,66,0.833,0.139,open,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
9391,55.0,M,1,High School,Married,60-80K,46,7.271217139609844,Blue,2,2,3,0,7.271217139609844,1.037,6.78897174299217,18,1.25,0.0,closed,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
6083,55.0,F,1,Unknown,Single,below 40K,36,7.515344571180436,Blue,5,2,3,572,7.142036574706803,0.758,7.783224016336037,34,0.789,0.312,closed,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
4100,55.0,M,0,Doctorate,Married,80-120K,36,9.021115038865434,Blue,3,1,3,1671,8.795582216956426,0.359,7.25063551189868,25,0.25,0.202,open,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
5760,57.0,F,1,Uneducated,Divorced,below 40K,47,7.696667081526462,Blue,6,6,1,1420,6.660575149839686,0.762,8.35608503102148,70,0.591,0.645,open,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
2681,52.0,,3,Uneducated,Married,below 40K,47,7.830425617820331,Blue,6,3,2,1486,6.937314081223682,0.503,8.290794347381356,77,0.54,0.591,open,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
7496,49.0,,4,Graduate,Single,Unknown,42,9.70649895869877,Blue,5,3,2,1368,9.61953186182516,0.55,10.246190338907978,79,0.881,0.083,open,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
6324,53.0,M,2,Graduate,Married,80-120K,41,9.239996256883693,Blue,2,3,1,2451,8.968268810776454,0.906,9.702533483594172,111,0.657,0.238,open,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
